name,category,description,prep_time,cook_time,serves,ingredients,instructions,calories,fat,carbohydrates,protein,fibre,vitamin_a,iron,zinc,ingredients_2,instructions_2,id
Mukimo wa Njahi (Raw & Ripe Bananas),mashed dishes,"This sweet Mukimo wa Njahi is prepared using ripe banana typical among the Kikuyu community. It was
prepared mainly for lactating mothers and during dowry ceremonies. To date, this remains an important
recipe among the Kikuyu community and is served mainly during Lunch.",10,270,8,"5 1/8 cups (1 kg) njahi dolichos lablab, black beans, raw, dry;21 large (3 kg) raw, unpeeled bananas;12 large (1.2 kg) ripe, unpeeled bananas;5 tsp. (21 g) salt, iodized;28 ¾ cups (6037 g) water","Sort the black beans, wash and cook in 23 cups of water for 4 hours or until ready or soft.;Mash the black beans until smooth.;Meanwhile, peel the ripe bananas and set aside.;Boil the green bananas in 2 ½ cups of water until they are soft.;Once ready, add the peeled ripe bananas. Add the rest of the water and salt into the mixture.;Let the water come to a boil. Add this mixture into the mashed black beans.;Mash until soft and serve while hot.",151,0.6,26.6,6.4,6.5,1,2.2,0.79,,,63
Mashed Potato and Bananas,mashed dishes,"This recipe is common among the Kisii, Kikuyu and Meru communities due to the abundance of the ba-
nanas and potatoes in these communities. Sometimes it serves as an infant dish. When served as a main
family dish, it can be eaten with a variety of stews or just a vegetable dish.   ",10,45,4,"14 large potatoes, unpeeled, white, Irish, raw (2 kg);7 bananas, raw, unpeeled (1.2 kg);1 onion, red skinned, raw, unpeeled (134 g);3 tomatoes, red, raw (321 g);1 ¼ cups (186 g) cooking fat;2 tbsp. (35 g) salt, iodized;3 1/3 cups (734 g) water","Peel, wash the potatoes and bananas into separate bowls.;Peel, wash and chop the onion. Wash and cut the tomatoes.;Heat the cooking fat in a pan. Add the onion into the pan and cook until golden brown.;Add tomatoes and stir until the tomatoes are cooked or tender;Cut the potatoes and bananas and add into the cooking pot.;Add salt, cover and keep stirring at intervals.;Add all the water and bring to a boil.;Cook until the potatoes and the green bananas are tender.;Mash to a smooth consistency and serve while food hot.",179,8.5,22.1,2.3,2.6,4,1.4,0.36,,,64
Mushenye (Green Maize and Sweet Potatoes),mashed dishes,"This dish is typical to the Luhya community. It is served as a main dish during lunch or dinner. Traditionally
it was eaten plain but can be served with. It usually served with tea.  ",20,280,4,"3 ¾ cups (757 g) beans, kidney, dry;2 cobs (917 g) green maize, with husks;4 sweet potatoes, unpeeled, pink skin, raw (1.6 kg);4 tsp. (20 g) salt, iodized;1 1/3 cups (323 g) peanut butter;30 cups (6501 g) water","Boil beans for 2 hours in 21 cups of water.;Remove husks and shell the maize grains into a bowl.;Add the green maize and 4 cups of water to the cooked beans.;Let the maize boil until it is cooked for about 1 hour.;Meanwhile peel and wash the sweet potatoes.;Add sweet potatoes, peanut butter, salt and the rest of the water.;Cook the sweet potatoes in the maize-bean mixture for 1 hour 15 minutes.;Once cooked, mash, remove from heat and serve.",153,4.1,17.6,7.1,8.6,1,2.3,1.07,,,65
Wukunu (Sweet Potatoes & Dehulled Black Beans),mashed dishes,"Wukunu is a traditional dish common in Taita community. It was commonly served during ceremonies such
as burials, weddings, or other special occasions. Traditionally, it was eaten without any accompaniment.
The modern practice incorporates some vegetables or salad.",15,150,4,"2¼ cups (384 g) black beans, dolichos lablab, raw, dry;7 sweet potatoes, unpeeled, pink skin, raw (1.8 kg);13½ cups (2946 g) water;2 tsp. (11 g) salt, iodized","Sort the black beans and wash.;Boil the beans in 9 cups of water for 1 hour 20 minutes (or until almost cooked).;While the beans boil, peel the sweet potatoes and set aside covered with water.;Remove the boiled beans from fire and set aside to cool.;Once cool enough to handle, shell the beans (remove the outer skin)/ you can also blanch after cooling the beans to make shelling easier.;Put the shelled black beans into a pot, add 4 ½ cups of water and boil for 4 minutes.;Add the peeled sweet potatoes, salt and boil for 50 minutes or until the sweet potatoes are tender;Remove from fire and mash to a smooth consistency.;Serve.",94,0.6,15.8,4.1,4.6,1,1.5,0.41,,,66
Kimanga cha Ndizi (Smoked Green Bananas and Kidney Beans),mashed dishes,"Kimanga is a traditional dish in the Taita community particularly in the highland part of Taita. It is common-
ly made from smoked green bananas that gives the dish its characteristic flavour. It is served during lunch
or dinner as a main meal served to the entire family. Traditionally, it was preferred during drought period
due to its filling effect and usually eaten plain.",10080,140,4,"1 ¾ cups (310 g) beans, kidney, dry;13 green bananas, peeled smoked (169g);2 ½ tsp. (12 g) salt, iodized;19 ¼ (4180 g) water","Boil beans in all the water until they are ready.;Without draining the water used to cook the beans, add the smoked bananas, cover and cook for 10 minutes.;Add salt and stir. Cook until the bananas are soft.;Remove and mash.;Serve while hot.",146,0.9,24.1,6.5,7.7,2,1.6,0.85,,,67
Kimanga cha Mihogo (Mashed Cassava and Pigeon Peas),mashed dishes,"This is a variant of the traditional Kimanga among the lowland Taita community and other drier parts of
Taita bordering the Kamba community. It was a choice meal during drought and was liked for its filling
effect. In modern times it is still common and eaten as a main meal during lunch and dinner by the entire
family.",10,165,4,"1 ½ (1.3 kg) cassava, unpeeled, raw;3 cups (541 g) pigeon peas, dry, raw;4 tsp. (20 g) salt, iodized;21 1/3 cups (4641 g) water","Sort the pigeon peas and wash.;Boil 9 1/3 cups of water in a pot and add the pigeon peas. Boil the peas until soft or ready.;Meanwhile as the pigeon peas boil, peel and cut the cassava into a separate bowl with water.;Add 12 cups of water to the boiled peas and add the cut cassava, and cover.;Boil for 15-20 minutes and add salt.;Cover and cook until the cassava is tender and ready.;Turn off the heat and mash.;Serve hot.",194,0.6,39.6,4.8,5.8,4,1.6,0.85,,,68
Mashed Potatoes,mashed dishes,"This is a typical infant dish among many Kenyan communities. It is usually mashed to a light texture and
sometimes served with added milk. Sometimes a green leafy vegetable may be added and mashed to-
gether.",10,25,4,"7 potatoes, unpeeled, white, Irish, raw (1.25 kg);2 ¾ cups (625 g) water;½ tbsp. (7 g) salt, iodized","Peel the potatoes and clean them.;Put them in a cooking pot, add salt and cover with all the water.;Bring to a boil and cook until the potatoes are ready and tender.;Drain any excess water.;Mash the potatoes to a smooth consistency and serve warm.",106,0.2,22.8,2.5,1.7,0,1.4,0.32,,,69
Mashed Bananas Plain,mashed dishes,"This is a typical infant dish among many Kenyan communities. It is usually mashed to a light texture and
sometimes served with added milk. Sometimes a green leafy vegetable may be added and mashed to-
gether.",10,45,4,"9 unpeeled bananas, green, raw (1 kg);2 1/8 cups (465 g) water;1 tsp. (5 g) salt, iodized","Peel the bananas and clean them.;Put in a cooking pot, add all the water and salt.;Bring them to boil until the bananas are tender.;Mash and serve warm.",81,0.3,16.9,1.2,3,0,0.6,0.19,,,70
Enriched Mashed Potatoes,mashed dishes,"This is a typical infant dish among many Kenyan communities. It is usually mashed to a light texture and
sometimes served with added milk. Sometimes a green leafy vegetable may be added and mashed to-
gether.",10,55,4,"7 potatoes, unpeeled, white, Irish, raw (1 kg);4 2/3 cups (1007 g) water;½ tsp. (3 g) salt, iodized;6 tbsp. (76 g) margarine","Peel the potatoes, wash and put into a pot.;Add all the water and bring to a boil.;Add salt and cook until the potatoes are tender and most water has evaporated. Leave a little water to help in mashing.;Add margarine.;Mash the potatoes into a smooth consistency.;Remove from heat and serve warm.",141,6.2,18.6,2,1.4,51,1.1,0.26,,,71
Enriched Mashed Bananas,mashed dishes,"This is a typical infant dish among many Kenyan communities. It is usually mashed to a light texture and
sometimes served with added milk. Sometimes a green leafy vegetable may be added and mashed to-
gether.",10,40,4,"14 green bananas, raw, unpeeled (1.2 kg);3 ¼ cups (702 g) water;¾ tsp. (4 g) salt, iodized;8 ½ tbsp. (113 g) margarine","Peel the bananas, wash and put in a cooking pot.;Add all the water and salt.;Boil until the bananas are tender.;Add margarine.;Mash the bananas into a smooth consistency and serve warm.",136,7.8,14.3,1,2.6,63,0.5,0.16,,,72
Kimito (Mashed Beans & Potatoes),mashed dishes,"Kimito is common among the Embu, Kikuyu and Meru communities. It is served as a main dish during
lunch or dinner and enjoyed by the entire family. Traditionally, this was eaten dry but in modern day this
dish is sometimes accompanied by various stews. It is also served to infants above 6 months of age.",10,180,4,"10 potatoes, unpeeled, Irish, white, raw (1.9 kg);3 cups (515 g) beans, kidney, raw, dry;4 tsp. (21 g) salt, iodized;½ tbsp. (7 g) cooking oil;36 1/3 cups (7898 g) water","Sort and wash the kidney beans.;Put beans and 23 cups of water into a pot. Turn on the heat and boil until the beans are soft and ready, about 2 hours 30 minutes.;Meanwhile, peel and wash the potatoes.;Remove the boiled beans and transfer to a bowl.;Put potatoes into a pot and spread the beans on top.;Add the rest of the water and salt. Cover and cook for 50 minutes or until the potatoes are soft and tender.;Drain the excess water if necessary.;Add the cooking oil and mash the content to a smooth consistency.;Serve while hot.",127,0.8,21.6,5.7,5.4,0,2.2,0.77,,,73
Kimanga cha Viazi Vitamu (Mashed Sweet Potato & Black Beans),mashed dishes,"Kimanga is a common name for the mashed dishes among the Taita community. This recipe is particularly
unique as it is a mix of sweet potato and black beans. It is usually eaten plain. It is common in both low-
land and highland parts of Taita. To date, this serves as a main meal and is eaten during lunch or dinner.",15,180,4,"4 brown skin sweet potatoes, unpeeled, raw (1 kg);2 cups (365 g) dolichos beans, black;2 tsp. (11 g) salt, iodized;28 ¾ cups (6239 g) water","Sort the black beans and wash.;Put the washed black beans into the cooking pot and boil in 18 cups of water for 2 hours or until soft.;In the meantime, peel and cut the sweet potatoes and put them in water.;Add the peeled sweet potatoes, the rest of the water and salt onto the boiled black beans, cover and boil until the sweet potatoes are properly cooked or soft.;Turn off the heat and mash.;Serve hot.",112,0.5,18.9,5.4,5.2,4,1.6,0.63,,,74
Enriched Matoke,mashed dishes,"This a typical infant dish among the Kisii community. It is wonderfully enriched with peanut butter paste to
give it a smooth taste. Infants are fed on this from the age of 6 months onwards. Sometimes, this recipe is
made with some green leafy vegetables.",5,25,4,"9 green bananas, unpeeled, raw, unpeeled (1.5 kg);¼ cup (68 g) peanut butter;1 tsp. (5 g) salt, iodized;4 ½ cups (968 g) water","Peel and wash the bananas.;Put the washed bananas into a pot, add salt and all the water, and bring to a boil.;Cook until the bananas are ready and tender.;Remove from heat; add the peanut butter and mash.;Serve while hot.",111,3.5,15.8,2.4,3.2,0,0.9,0.32,,,75
Nyenyi (Mashed Pigeon Peas & Green Maize),mashed dishes,"""Nyenyi"" is a traditional delicacy among the Embu community. It is made of green maize mashed with po-
tatoes and pigeon peas. It is eaten during lunch and dinner by the entire family. Sometimes, the left-over
of this dish is eaten as breakfast. Traditionally, this dish was eaten dry but in modern times it is eaten with
variety of stews.",10,180,4,"2 ½ cups (474 g) pigeon peas, dry, raw;6 potatoes, unpeeled, Irish, white (1.6 kg);200 g pumpkin leaves, raw;3 maize cobs with kernels (750 g);4 tsp. (20 g) salt, iodized;1/3 cup (61 g) margarine;30 cups (6472 g) water","Sort and wash the pigeon peas. Put into a pot with 23 cups of water and cover.;Boil to cook for 2 hours.;Expose the maize kernels by pulling back the husks and carefully remove the silk.;Remove kernels from the cobs by hand in rows or use a corn zipper.;Wash the maize and add to the boiling pigeon peas. Continue boiling until both are tender and ready.;Remove from heat, drain any remaining water and put into a bowl.;Meanwhile, prepare and cut the potatoes.;Remove the pumpkin stalks, wash and cut the pumpkin leaves and hand blend with salt.;Put the cut potatoes, salted pumpkin leaves, followed by the boiled pigeon peas-maize mixture into a cooking pot.;Add the rest of the water, cover and cook until the potatoes are ready and soft.;Add margarine, remove from heat and mash;Serve while hot.",125,2.3,17.8,4.9,6.5,23,1.8,0.89,,,76
Githeri (Sautéed Fresh Maize & Beans),maize dishes,"Another common variant of Githeri is this one that is prepared with fresh maize and dry beans. It is mainly
eaten among communities that grow maize and is common during the green maize season. This is eaten
as a main family dish and served during lunch and dinner.  ",330,10,4,"4 green maize cobs with kernels (1.5 kg);4 ¼ cups (740 g) kidney beans, red, dry;21 ¾ cups (4728 g) water;1 onion, red skinned, raw, unpeeled (283 g);1 1/8 cups (173 g) cooking fat;4 ½ tsp. (22 g) salt, iodized","Remove husks from the maize.;Remove the maize kernels into a bowl.;In the meantime, measure the required amount of beans and set aside to soak in 14 cups of water for 2 hours 15 minutes.;Drain and discard the water.;Add the rest of the water into a cooking pot, add the soaked beans and fresh maize.;Place the cooking pot over fire and leave it to boil until it is cooked, and all the water dries up (about 3 hours).;Set aside.",185,7.2,17.8,6.9,10.5,2,2.2,1.32,,<stewing>: Cut onion and put into a pot with cooking oil.;Cook the onions until golden brown.;Add the boiled maize and bean mixture.;Add salt and keep mixing until ready in about 10 minutes.;Remove and serve.,77
Muthokoi (Dehulled Maize and Beans),maize dishes,"This is a traditional dish typical among the Kamba, Taita and Meru communities. The Borana have this dish
by the name Ashir but it’s preparation is unique to their community. The recipe is prepared from dehulled
maize which is boiled together with dry beans. Once stewed it gives a delicious smooth taste. It is mainly
eaten as a main dish during lunch or dinner.",165,15,4,"2 ½ cups (440 g) maize, white, de-germed;2 2/3 cups (474 g) beans, kidney, dry, raw;21 1/3 cups (4646 g) water (to boil muthokoi);1 onion red skinned, raw, unpeeled (182 g);1 ¼ cups (185 g) cooking fat, shortening, commercial, vegetable fat;4 ½ tsp. (22 g) salt, iodized","Put the maize and beans into a pot and boil in all the water for 2 hours 30 minutes or until cooked.;Drain and keep the remaining water.;Peel, wash and chop the onion into a separate bowl.",161,5.9,19.8,5,4.6,0,1.3,0.59,,"<stewing>: Heat oil in a cooking pot for 1 minute.;Add the chopped onions and cook until soft.;Add muthokoi and salt, stir to mix.;Add the water drained from the boiled muthokoi.;Cover to cook for 3-5 minutes.;Turn off the heat.;Serve.",78
Nchenga/Nzenga (Crushed Maize),maize dishes,"This ancient dish has been a delicacy among the Kamba, Taita and Meru communities for many years as a
rice substitute. The maize is crushed to small size to mimic the size of rice grain, then it is carefully pre-
pared to yield a rice-like dish with a distinct taste. Traditionally, it was eaten on its own or a legume stew
and could also be prepared with a variety of ingredients including meats, legumes or vegetables. It is
eaten by the entire family.",12,60,4,"1 1/3 cups (231 g) crushed maize, white, dry;1 onion, red skinned, raw, unpeeled (115 g);1 carrot, orange, raw (169 g);2 ½ tbsp. (28 g) cooking fat;2 ½ tsp. (12 g) salt, iodized;4 2/3 cups (1004 g) water","Wash the crushed maize and boil in all the water until soft.;Peel the carrot and grate. Wash, peel and chop the onion.;Melt the cooking fat in a pot. Add onion and cook until golden brown.;Add the grated carrot, salt and stir for 2-3 minutes.;Add the boiled crushed maize, stir and cover to cook for 2-5 minutes.;Turn off the heat.;Serve hot.",129,3.9,20.3,2.2,1.8,87,0.3,0.16,,,79
Mchuzi wa Maharagwe (Bean Stew),legume dishes,"The ancient bean stew is chief among the legume stews in Kenya. Different varieties of beans are used to
prepare bean stew by different communities depending on availability. Most communities in Kenya utilize
bean stew as an accompaniment to starchy dishes such as Ugali, rice or chapatti. It is commonly eaten for
lunch or dinner.",160,30,4,"2 2/3 cups (462 g) beans, kidney, dry;10 3/4 cups (2333 g) water;1 tomato, red, raw (140 g);1 onion, red, raw (92 g);¼ cup (40 g) cooking oil;2 ½ tsp. (13 g) salt, iodized;9 stalks (56 g) coriander","Boil all the beans in 9 cups of water for 2 hours 30 minutes.;Prepare and cut the vegetables (coriander leaves, tomatoes and onions) into small pieces in separate bowls.;In a pot, add ¼ cup of oil and turn on the heat.;Add the onions and cook for 7 minutes in a covered pan on low heat.;After 10 minutes, add the tomatoes and cook while stirring to mix.;Add the coriander leaves and mix then add the beans.;Add 1 3/4 cups of water followed by 1 tbsp. salt and cover the pot for 5 minutes. Stir to mix.;Cover the vessel and cook for 4 minutes.;Serve hot",63,1.4,7.2,3.5,3.7,4,1,0.44,,,80
Mchuzi wa Ndengu Kamande (Lentil Stew),legume dishes,"Lentil stew is made from lentil grains which give a characteristic taste to the dish. It is quite aromatic and
provides the desired fragrance as an accompaniment to starch dishes such as rice and chapatti. It is usual-
ly served during lunch or dinner and is common in most parts of the country.  ",60,20,6,"2 1/3 cups (466 g) lentils, dry, raw;11 2/3 cups (2541 g) water;2 onions, red skinned, raw, unpeeled (161 g);2 tomatoes, red, raw (258 g);1/3 cup (63 g) cooking oil;3 tsp. (15 g) salt, iodized",Sort and wash all the dry lentils. Put in a cooking pot and boil in 9 cups of water for 1 hour.;Remove from heat and set aside.;Wash and cut tomatoes and onions in separate bowls.,108,3,11.1,7.1,4.5,3,2,0.93,,<stewing>: Add cooking oil into the vessel and heat for 1 minute.;Add onions and cook for 6 minutes.;Add tomatoes and salt.;Cook for 7 minutes while stirring to mix.;Add the pre-boiled lentils and mix.;Add 2 2/3 cups of water.;Cover the vessel and cook for 6 minutes.;Remove from heat and serve.,81
Mchuzi wa Ndengu (Green Gram Stew),legume dishes,"Green gram stew is one of the most common legume stews in Kenya. Eaten across the country, it serves
as an accompaniment to starches such as Ugali, rice or chapatti. Sometimes green grams (or Ndengu
as they are commonly known) are used as a key ingredient in making rice dishes as well as mashed with
infant dishes.",60,30,4,"2 ¾ cups (544 g) green gram, dry, raw;10 3/4 cups (2337 g) water;1 onion, red skinned, raw, unpeeled (118 g);2 tomatoes, red, raw (155 g);7 tbsp. (84 g) cooking oil;2 ½ tsp. (13 g) salt, iodized","Sort and wash all the green grams.;Add the raw green grams to a cooking pot and boil in 8 cups of water for 51 minutes.;Drain and discard the excess water.;Peel, wash and chop the onion and tomatoes.",109,4.2,9.3,6.3,4,4,1.6,0.57,,<stewing>: Add oil to a cooking pot and heat for 2 minutes.;Add the onions.;Cook onions for 3 minutes and then add the tomatoes.;Cook for another 3 minutes and then add the boiled green grams.;Add 2 3/4 cups of water. Add salt and mix.;Cover the vessel and cook for 14 minutes.;Remove from heat and serve.,82
Bean Stew with Milk and Cream,legume dishes,"This dish is very typical to the Kalenjin community. It is usually served with a starch such as rice or Ugali
and serves as a main meal for the whole family during lunch or dinner.",10,150,4,"2 3/4 cups (500 g) beans, kidney, dry;29 ½ cups (6385 g) water;1 bunch (58 g) spring onion, unpeeled;3 tomatoes, red, ripe (291 g);3 tbsp. (34 g) cooking oil;2¼ cups (503 g) cow milk, pasteurized;2/3 cup (139 g) cow cream;2 tsp. (10 g) salt, iodized","Sort and wash the beans and put into a cooking pot.;Add all the water.;Bring to a boil and cook until the beans are soft and ready. Drain and discard the excess water.;Meanwhile, wash and chop the onion and tomatoes into separate bowls.;In a separate cooking pot, heat oil, add the onions and fry until tender.;Add tomatoes and salt and cook until the tomatoes are tender.;Add the boiled beans, stir and cover. Cook for 2-5 minutes.;Add milk and cream, stir, cover and cook for 10 minutes.;Remove and serve.",139,4.5,14.3,7.2,6.7,25,1.9,0.96,,,83
Black Bean Stew (Njahi/Dolichos Bean Stew),legume dishes,"Black bean stew popularly known as Njahi stew, is common among the Kikuyu, Kisii, Meru, Embu and
Luhya communities. It is usually used as an accompaniment to a starch dish such as Ugali, Chapati or rice.
Traditionally, this was a preserve of lactating moms as “njahis” were believed to enhance milk production.",12,195,4,"2 ½ cups (501 g) black beans, dolichos;2 onions, red skinned, raw, unpeeled (349 g);3 tomatoes, red, ripe (307 g);2 ½ tbsp. (27 g) cooking oil;2 ½ tsp. (12 g) salt, iodized;29 2/3 cups (6438 g) water","Sort the black beans and wash. Put the washed beans into a cooking pot and add 26 cups of water.;Cook until ready or soft.;Remove from heat and drain the excess water from the boiled black beans.;Meanwhile, peel, wash and cut the onion and the tomatoes.;Put oil in a cooking pot and heat for 2 minutes. Add onions and fry until tender.;Add tomatoes, salt and cook until tender.;Add the boiled black beans and simmer for 4 minutes.;Add the rest of the water and simmer for 6 minutes.;Remove from heat.;Serve as desired.",62,1.3,7.7,3.6,2.8,3,1.2,0.42,,,84
Mchuzi wa Mbaazi (Pigeon Peas Stew),legume dishes,"Commonly known as ""mbaazi"" stew, this recipe is common among the Kamba community. It is eaten with
starchy meals such as Ugali, rice or chapatti and often served during lunch or dinner. Other farming com-
munities also utilize this recipe in a similar manner.",10,160,4,"2.5 cups (434 g) pigeon peas, dried;1 onion, red skinned, raw, unpeeled (119 g);2 tomatoes, red, ripe (167 g);6 tbsp. (63 g) cooking fat;2 ½ tsp. (12 g) salt, iodized;18 2/3 cups (4048 g) water","Boil all the pigeon peas in all the water.;Cook until ready or when the peas soften.;Strain the water and keep; set aside the peas separately.;Wash and chop the onions the tomatoes.;Heat cooking fat in a cooking pot for 1 minute, add onions and cook until they turn golden brown.;Add tomatoes, stir and cook until tender.;Add the pigeon peas, stir and cook for 3-5 minutes.;Add salt, water drained from the pigeon peas and stir.;Cover and bring to a boil for 3-5 minutes.;Turn off the heat.;Serve",118,4.4,11,5.7,6.1,8,1.4,0.74,,,85
Firinda (Skinned Bean Stew),legume dishes,"Firinda is a dish unique to the Nubian community. It is specially made by skinning boiled beans then sau-
téed in spring onions. It is a popular accompaniment to starchy dishes like Ugali, mkate kuta and rice. It is
served mainly during lunch and dinner to the entire family.",195,120,4,"2 ¼ cups (400 g) beans, kidney, dry;1 ½ tbsp. (20 g) cooking oil;29 1/8 cups (6326 g) water;2 ½ tsp. (12 g) salt, iodized;8 stalks (67 g) spring onions, unpeeled","Sort and wash the beans.;Soak in 14 cups of warm water for 3 hours.;Drain the water soaking the beans.;Remove and discard the skin.;Put the beans into a cooking pot, add the rest of the water and bring to a boil for 2 hours.;Meanwhile, peel, wash and chop the spring onion.;Add the chopped onions, oil and salt into the boiling beans.;Continue boiling until the beans are tender and well cooked.;Serve.",93,2.3,10.2,5.2,5.3,2,1.6,0.7,,,86
Ndoto (Sautéed Red Kidney Beans & Red Sorghum),legume dishes,"Ndoto is a traditional dish among the Taita community. It was prepared during “Kuaikwa” (the Taita tradi-
tional initiation ceremony for girls to prepare them for marriage). It was also prepared during weddings.",330,10,4,"3 cups (501 g) red sorghum;1 ¾ cups (308 g) red kidney beans;23 ¼ cups (5059 g) water;3 tsp. (14 g) salt, iodized;1 ½ cups (176 g) onions, red skinned, raw, unpeeled;3/4 cups (144 g) cooking oil","Sort the beans. Wash and put on the fire in 21 cups of water. Let the beans boil until cooked (2 hours 30 minutes).;As the beans are boiling, sort out the red sorghum.;Once beans are ready, wash the red sorghum and add it into the mixture with the remaining water.;Let the red sorghum boil until cooked (2 hours 50 minutes). Cook until all the liquid is almost dry. Remove from fire.",193,7.9,21.3,5.7,7,0,1.8,0.89,,"<frying>: Peel and chop the onion.;Put in a pot with the cooking oil and fry onion until golden brown.;Add the boiled red sorghum, red kidney beans and salt.;Cook for 6 minutes and remove from fire.",87
"Fiqe (Red Sorghum, Beans and Teff Flour)",legume dishes,"A mixture of sorghum flour and cooked beans stirred together as a paste and until firm. It is best enjoyed
with a strong cup of black tea. Eaten by everybody. Can also be made with maize flour or any other grain
flour. Traditionally, a bean and ghee must be added. In modern time normal cooking oil is used.",10,165,4,"1 ½ cups (262 g) beans kidney, raw;1½ cups (207 g) red sorghum flour;2 cups (323 g) teff flour;1 medium-size bowl (611 g) sukuma wiki leaves, raw;1 ½ tbsp. (22 g) salt, iodized;7 tbsp. (88 g) ghee;8 2/3 cups (1882 g) water","Boil beans in 8 2/3 cups of water until cooked (1 hour).;Wash and cut the sukuma wiki.;Add diced sukuma wiki into the boiled beans in the same cooking pot and cook for 20 minutes.;In a separate bowl, mix the teff flour and the red sorghum flour together.;Add the mixed flour into the mixture of beans and kale. Add salt and stir gently until evenly mixed.;Add ghee after 20 minutes and continue mixing for 10 minutes.;Serve hot.",192,5.8,24.2,7.2,7.4,82,3.5,1.4,,,88
Swahili Biryani Stew (Swahili Spiced Beef Stew),"meats, fish & eggs","Biryani stew is a traditional delicacy of the Swahili community. It is made with meat and heavily spiced
to produce a rich tasty meal. This recipe is sometimes served during special occasions such as weddings
or other social ceremonies. It is eaten by the whole family and can be served for lunch or dinner usually
accompanied by a colourful biryani rice.  ",20,70,6,"1 kg beef, raw, medium fat;8 onions, red skinned, raw, unpeeled (806 g);2 potatoes, unpeeled Irish, white, raw (454 g);9 tomatoes, red, ripe (1.1 kg);1 cup (163 g) tomato paste, salted;1 bunch (60 g) fresh coriander;1 capsicum, green (242 g);2 1/3 cups (468 g) cooking oil;1 piece (20 g) ginger;1 garlic, whole (46 g);2 ½ tbsp. (37 g) salt, iodized;4 tbsp. (18 g) pilau masala;1 cup (242 g) maziwa mala (fermented milk);1 ¼ tsp. (2 g) turmeric powder;2 ¼ cups (511 g) water","Wash and cut the meat.;Boil the meat in 1 cup of water for 20 minutes until meat is tender.;Prepare and put coriander, capsicum, garlic, ginger and tomatoes into a blender and blend to a medium thick juice. Add 1 ¼ cups of water.;Peel, wash and chop the onions into a separate bowl.;Put oil into a cooking pot and heat for 1 minute. Add the chopped onions.;Cook onions until golden brown.;Add the blended paste and stir.;Add meat, turmeric, tomato paste, potatoes, pilau masala and salt.;Cover and simmer until the potatoes are cooked or soft.;Add the fermented milk and continue to simmer for 5 minutes.;Stir and remove from fire.;Serve with the biryani rice.",198,14.3,8.3,8.1,1.9,24,5.2,1.58,,,89
Minced Meat Balls,"meats, fish & eggs","This recipe is common in many urban communities in Kenya. It is usually made from minced meat with var-
ious types of fresh spices. It is usually served as an accompaniment with starchy dishes such as potatoes,
rice or spaghetti. As such it is eaten during lunch or dinner and enjoyed by the entire family.",30,75,4,"1 kg minced raw beef, medium fat;5 ½ cups (1207 g) water;4 onions, red skinned, raw, unpeeled (376 g);5 tomatoes, red, ripe (439 g);1 bunch coriander leaves (51 g);2 ½ tsp. (12 g) salt, iodized;½ cup cooking oil (102 g);2 tsp. (4 g) cumin seeds;1 ½ tsp. (3 g) curry powder;4 Royco® cubes (8 g);1 whole garlic (39 g);¼ cup (48 g) white raw rice","Pound the minced meat in a mortar.;Prepare and cut the onions as well as the tomatoes and chop into two separate bowls.;Divide the onion, garlic, cumin seed and coriander in two equal portions. Mix and pound one half of each divided ingredient and add into the pounded meat.;Add rice to the pounded mixture and crush the grains.;Fry the other half of onions in ½ cup of cooking oil until they turn golden brown. Add salt and stir.;Add tomatoes and all the water, and then simmer until the tomatoes are tender.;Pound the rest of the garlic, cumin seeds and coriander into the pounded meat.;Work the meat with palms to form balls using ¼ cup of cooking oil.;Add the meat balls into the simmering tomato soup.;Add garlic, curry powder and Royco® cubes.;Simmer for 30 minutes until the meat balls are ready.",157,5.4,18.6,8.1,0.8,9,4.4,1.55,,,90
Stewed Dried Fish,"meats, fish & eggs","This dish is typical among the Luhya and Luo communities. It also commonly known as “Shivambala”.
Frequently, fish that is previously dried (usually split open manner) is stewed with tomatoes and onions. It
is mainly served with Ugali to the entire family either during lunch or dinner.",15,25,4,"210 g dry fish;3 tomatoes, red, ripe (319 g);1 whole onion, red skinned, raw, unpeeled (143g);½ cup (104 g) cooking oil;2 tbsp. (28 g) peanut butter;1 g magadi (water and ash);13/4 cups (406 g) water","Soak the dried fish in ¾ cup of warm water for 10 minutes.;Chop the onion, cut the tomatoes and place into separate bowls.;Wash the dried fish in the soaking water and drain the water.;In a cooking pot, heat cooking oil, add the onions and cook until they turn golden brown.;Add peanut butter and the grated tomatoes and cook for 3 minutes while stirring at intervals.;Add 1g of magadi and cook for another 2 minutes.;Add salt and the rest of the water and bring the mixture to boil.;Add the washed fish and cook for 10 minutes or until ready.;Remove from heat and serve.",330,23.2,3.9,25.7,1.4,0,2.1,1.02,,,91
